"","scenario","decade","Region","RegionCode","s1","s2","s3","s4","s5","Gini"
"34","moreInequality",2035,10,"LTM",3.51328901182719,8.16780028140255,13.5687279111651,21.1287986478161,53.621384147789,0.452708739023136
"35","moreInequality",2035,11,"OHI",6.413912940346,11.9760272969311,16.9969965229879,23.2440382503544,41.3690249893807,0.324712916691962
"36","moreInequality",2035,12,"NOA",3.97745894334523,8.01531178884007,12.7349852064262,22.5042854039679,52.7679586574206,0.448279896048046
"37","moreInequality",2045,1,"USA",2.80775217033677,8.60723806953528,14.8806433046761,23.1954184813991,50.5089479740527,0.439962295481244
"38","moreInequality",2045,2,"EUR",7.49745316323666,12.7142212733805,17.9045061706724,23.5733488812866,38.3104705114238,0.289940647750297
"39","moreInequality",2045,3,"JPN",6.12447431884033,11.8623979770804,17.2475076475456,24.3396330493306,40.4259870072031,0.324321052627037
"40","moreInequality",2045,4,"RUS",7.15044919477213,12.1909875009417,17.0622951978752,23.4248373431652,40.1714307632457,0.309103251145245
"41","moreInequality",2045,5,"NRE",3.87967413631181,8.16124971702755,13.898352810417,24.1773083372054,49.8834149990383,0.432094142227013
"42","moreInequality",2045,6,"CHN",5.17533770753328,11.7102632909553,17.3294567782887,24.2955488108393,41.4893934123835,0.340853572017071
"43","moreInequality",2045,7,"IND",6.06071880420992,10.16729647836,14.3712462338452,20.9167000618257,48.4840384217592,0.382384178629006
"44","moreInequality",2045,8,"MEA",2.48744834957629,7.72277629520516,12.8030050316845,22.2872654735049,54.6995048500292,0.475954390303818
"45","moreInequality",2045,9,"AFR",1.78208256428241,4.83184912752215,9.26122582624782,18.6798065420031,65.4450359399446,0.56469545931845
"46","moreInequality",2045,10,"LTM",3.15460559125809,7.76097896619575,13.3147630383101,21.0887980410927,54.6808543631433,0.46552125037251
"47","moreInequality",2045,11,"OHI",6.07690290441881,11.7172658218714,16.8803379505525,23.3041827456746,42.0213105774828,0.333902924618796
"48","moreInequality",2045,12,"NOA",3.61772636146664,7.6136321256888,12.4668812060368,22.5126710318108,53.789089274997,0.460967062704835
"49","moreInequality",2055,1,"USA",2.49181982602068,8.18884328882807,14.6349110533765,23.178533253312,51.5058925784628,0.452071335072209
"50","moreInequality",2055,2,"EUR",7.19766825584958,12.4841473291916,17.8172841043906,23.642150008875,38.8587503016933,0.297920665591683
"51","moreInequality",2055,3,"JPN",5.80570072879041,11.5963462044126,17.1296699025054,24.4169914162661,41.0512917480256,0.333247299930666
"52","moreInequality",2055,4,"RUS",6.84526054109411,11.9437480794705,16.9491284653104,23.4867864494616,40.7750764646633,0.317610702637694
"53","moreInequality",2055,5,"NRE",3.55084011218036,7.75884944036631,13.6538544537573,24.2157170133931,50.820738980303,0.443986666060466
"54","moreInequality",2055,6,"CHN",4.8481516789434,11.4282172667853,17.2020674556048,24.3598867918037,42.1616768068629,0.350234896185906
"55","moreInequality",2055,7,"IND",5.74123891656508,9.85389157510948,14.1735463697365,20.8991503030742,49.3321728355148,0.392908496151797
"56","moreInequality",2055,8,"MEA",2.17935946599303,7.26893242173561,12.4889839674759,22.2342791003555,55.8284450444401,0.489054085545809
"57","moreInequality",2055,9,"AFR",1.50144217215586,4.26719696549457,8.81848311464388,18.4962908225759,66.9165869251299,0.580237541634774
"58","moreInequality",2055,10,"LTM",2.8325413602171,7.3297448579702,13.0363853724363,21.0243846413506,55.7769437680258,0.478333770815038
"59","moreInequality",2055,11,"OHI",5.75760058691125,11.4466992011986,16.7518742325039,23.3525220953818,42.6913038840045,0.34309289967176
"60","moreInequality",2055,12,"NOA",3.2905290068043,7.19026231106001,12.1770870541699,22.4993665081762,54.8427551197896,0.473654239486698
"61","moreInequality",2065,1,"USA",2.2114366470617,7.74674906454947,14.3654793585054,23.1379485816535,52.5383863482299,0.464180408983521
"62","moreInequality",2065,2,"EUR",6.90987021770201,12.246082138843,17.7220707919491,23.7029598903036,39.4190169612022,0.305900699905277
"63","moreInequality",2065,3,"JPN",5.50351902833349,11.3192331720162,17.0007708977364,24.4832885234729,41.693188378441,0.342173584250446
"64","moreInequality",2065,4,"RUS",6.55309765849658,11.6878248106123,16.8272778853587,23.540051708371,41.3917479371613,0.32611811756941
"65","moreInequality",2065,5,"NRE",3.24987745343355,7.33786825344865,13.3907751868412,24.2355447793243,51.7859343269523,0.455879148740881
"66","moreInequality",2065,6,"CHN",4.5416504255999,11.132381392451,17.0608882827568,24.4104349226038,42.8546449765886,0.359616147880847
"67","moreInequality",2065,7,"IND",5.43859983640642,9.52925946686816,13.9646193006369,20.8703733393319,50.1971480567565,0.403432850458358
"68","moreInequality",2065,8,"MEA",1.90942967029746,6.78964915634092,12.1495235113421,22.155853335281,56.9955443267386,0.502153721252914
"69","moreInequality",2065,9,"AFR",1.26499671873276,3.67308151099803,8.34627711057098,18.2833118106797,68.4323328490186,0.595779608997421
"70","moreInequality",2065,10,"LTM",2.54335774322291,6.87659034038012,12.736087297198,20.9380508322439,56.905913786955,0.491146281757314
"71","moreInequality",2065,11,"OHI",5.45507556066031,11.1649477196881,16.6122256536177,23.3896765842511,43.3780744817828,0.35228288686598
"72","moreInequality",2065,12,"NOA",2.99292430183441,6.74716406330293,11.8675644691746,22.4663335514133,55.9260136142747,0.486341386161945
"73","moreInequality",2075,1,"USA",1.96260258984185,7.28362209244478,14.0750149158083,23.0763311621689,53.6024292397362,0.476289452228868
"74","moreInequality",2075,2,"EUR",6.63357975503824,12.0003452315053,17.6191857625185,23.7560980547431,39.990791196195,0.313880697661193
"75","moreInequality",2075,3,"JPN",5.21706562396978,11.031634608891,16.8613863622387,24.5391000999509,42.3508133049497,0.351099830141794
"76","moreInequality",2075,4,"RUS",6.27340459344,11.4235883300602,16.6971140937129,23.5850037555865,42.0208892272003,0.334625540373392
"77","moreInequality",2075,5,"NRE",2.97442383454725,6.8998810399573,13.1106898933514,24.2383665186819,52.7766387134621,0.46777166314696
"78","moreInequality",2075,6,"CHN",4.2545262513006,10.8236274654205,16.9067910572126,24.4480650007078,43.5669902253586,0.368997461888122
"79","moreInequality",2075,7,"IND",5.15191383086639,9.19399197554775,13.7450568484583,20.8309609925106,51.0780763526169,0.413957190009199
"80","moreInequality",2075,8,"MEA",1.67293267710244,6.28807735594587,11.787774520208,22.0551390352061,58.1960764115377,0.515253402522076
"81","moreInequality",2075,9,"AFR",1.0657864339237,3.05414261075879,7.84924766075538,18.0455093530409,69.9853139415213,0.611321676739651
"82","moreInequality",2075,10,"LTM",2.2836978484636,6.40375334130012,12.4161067404698,20.8320345416473,58.0644075281191,0.503958813975218
"83","moreInequality",2075,11,"OHI",5.16844628648989,10.8725990701239,16.4619799066777,23.4162339050669,44.0807408316417,0.361472889827753
"84","moreInequality",2075,12,"NOA",2.72223580402668,6.28612167743775,11.5400977460713,22.4153564565423,57.0361883159219,0.499028559353429
"85","moreInequality",2085,1,"USA",1.74176770144955,6.80182900778838,13.7658843605594,22.9960476301326,54.69447130007,0.488398498981211
"86","moreInequality",2085,2,"EUR",6.36833673861499,11.7472433600071,17.5089357689274,23.8018712550222,40.5736128774283,0.321860705352567
"87","moreInequality",2085,3,"JPN",4.9455218714941,10.7340962778404,16.7120620588156,24.5849719085035,43.0233478833464,0.360026118879948
"88","moreInequality",2085,4,"RUS",6.00564912106362,11.1513934543879,16.5589919069471,23.6219974076818,42.6619681099196,0.343132977415883
"89","moreInequality",2085,5,"NRE",2.72231715635172,6.44632919933879,12.8150399727344,24.2256236309123,53.7906900406627,0.47966416286791
"90","moreInequality",2085,6,"CHN",3.98555413269505,10.5027721679276,16.7405924612058,24.4735937083492,44.2974875298223,0.378378764832439
"91","moreInequality",2085,7,"IND",4.88033996231836,8.84864972623267,13.515419638285,20.7814738876946,51.9741167854693,0.424481522473445
"92","moreInequality",2085,8,"MEA",1.46572758643745,5.7669776205308,11.4064975940538,21.9348968001112,59.4259003988668,0.528353051892703
"93","moreInequality",2085,9,"AFR",0.897947564538912,2.41428943357003,7.33130393399027,17.7867926184525,71.5696664494483,0.626863775331362
"94","moreInequality",2085,10,"LTM",2.05054750043481,5.91324331106644,12.0784531525879,20.708345219897,59.2494108160138,0.51677130716269
"95","moreInequality",2085,11,"OHI",4.8968775444602,10.5702100657992,16.3016938049773,23.4327508711221,44.7984677136413,0.370662893669394
"96","moreInequality",2085,12,"NOA",2.4760291358464,5.80875807182093,11.1963098032164,22.3480581419197,58.1708448471966,0.51171570912804
"97","moreInequality",2095,1,"USA",1.5457814748208,6.30347014862296,13.4401880308015,22.8991983235873,55.8113620221674,0.50050754960203
"98","moreInequality",2095,2,"EUR",6.11369943741026,11.4870710116967,17.3916152985241,23.8405739784889,41.1670402738801,0.329840735972674
"99","moreInequality",2095,3,"JPN",4.68811173642392,10.4271355351862,16.5533153437889,24.6214213054525,43.7100160791486,0.368952396283047
