"","scenario","decade","Region","RegionCode","s1","s2","s3","s4","s5","Gini"
"32","lessInequality",2035,8,"MEA",4.67662246897761,9.55950919489627,13.9406238850711,22.1197108715951,49.7035335794599,0.41045610494105
"33","lessInequality",2035,9,"AFR",4.00100128406956,7.11129876489044,10.9311282114979,19.0535739663694,58.9029977731727,0.486985076
"34","lessInequality",2035,10,"LTM",5.29618297644164,9.56297868733775,14.3524805476933,21.0566942198177,49.7316635687096,0.401458692116696
"35","lessInequality",2035,11,"OHI",7.91633640962628,12.9081509801222,17.360708595682,22.9005380520258,38.9142659625438,0.287953007843289
"36","lessInequality",2035,12,"NOA",5.71932465463343,9.42007351892929,13.6054442854679,22.2687859700804,48.986371570889,0.397531227975312
"37","lessInequality",2045,1,"USA",5.45532980780697,10.6162843727294,15.8537144314249,22.7954074688726,45.2792639191662,0.367307966038478
"38","lessInequality",2045,2,"EUR",9.5111821173075,13.9513185986817,18.2844922285309,23.0171957759244,35.2358112795555,0.242060545579395
"39","lessInequality",2045,3,"JPN",8.34263554092879,13.2550288252275,17.7508543299279,23.6718030598585,36.9796782440573,0.270763449538173
"40","lessInequality",2045,4,"RUS",9.21659809473134,13.5177460445082,17.5846176080032,22.896464720126,36.7845735326313,0.258058647483519
"41","lessInequality",2045,5,"NRE",6.40499368601069,10.2074411070549,14.9971326804351,23.5786460101391,44.8117865163603,0.360739185963041
"42","lessInequality",2045,6,"CHN",7.52885160709337,13.1422742839618,17.8335275623777,23.6492557730392,37.8460907735279,0.28456583092605
"43","lessInequality",2045,7,"IND",8.28815283076058,11.8406894307422,15.3504089513766,20.8149621472135,43.7057866399072,0.319238173615237
"44","lessInequality",2045,8,"MEA",5.16566643273364,9.89271634825064,14.1340082291646,22.0520605246293,48.7555484652218,0.397356440052871
"45","lessInequality",2045,9,"AFR",4.51160762606734,7.52264029367054,11.2205602898544,19.0837790525491,57.6614127378587,0.47144298542886
"46","lessInequality",2045,10,"LTM",5.76545373251265,9.89607511220995,14.5327205302137,21.0229699362065,48.7827806888572,0.388646191886462
"47","lessInequality",2045,11,"OHI",8.30198524761693,13.1344865871395,17.4449413000751,22.8079676886633,38.3106191765052,0.27876300642474
