,scenario,decade,Region,RegionCode,s1,s2,s3,s4,s5,gQuints,gRao
105,Constant,2055,11,OHI,6.17794758,11.46729962,16.44513296,22.98216268,42.92745717,34.0055529,36.12703754
106,Constant,2065,11,OHI,6.17794758,11.46729962,16.44513296,22.98216268,42.92745717,34.0055529,36.12703754
107,Constant,2075,11,OHI,6.17794758,11.46729962,16.44513296,22.98216268,42.92745717,34.0055529,36.12703754
108,Constant,2085,11,OHI,6.17794758,11.46729962,16.44513296,22.98216268,42.92745717,34.0055529,36.12703754
109,Constant,2095,11,OHI,6.17794758,11.46729962,16.44513296,22.98216268,42.92745717,34.0055529,36.12703754
110,Constant,2105,11,OHI,6.17794758,11.46729962,16.44513296,22.98216268,42.92745717,34.0055529,36.12703754
111,Constant,2015,12,NOA,4.573924931,8.607533612,12.99671498,22.46257136,51.35925512,42.97027925,40.52692681
112,Constant,2025,12,NOA,4.573924931,8.607533612,12.99671498,22.46257136,51.35925512,42.97027925,40.52692681
113,Constant,2035,12,NOA,4.573924931,8.607533612,12.99671498,22.46257136,51.35925512,42.97027925,40.52692681
114,Constant,2045,12,NOA,4.573924931,8.607533612,12.99671498,22.46257136,51.35925512,42.97027925,40.52692681
115,Constant,2055,12,NOA,4.573924931,8.607533612,12.99671498,22.46257136,51.35925512,42.97027925,40.52692681
116,Constant,2065,12,NOA,4.573924931,8.607533612,12.99671498,22.46257136,51.35925512,42.97027925,40.52692681
117,Constant,2075,12,NOA,4.573924931,8.607533612,12.99671498,22.46257136,51.35925512,42.97027925,40.52692681
118,Constant,2085,12,NOA,4.573924931,8.607533612,12.99671498,22.46257136,51.35925512,42.97027925,40.52692681
119,Constant,2095,12,NOA,4.573924931,8.607533612,12.99671498,22.46257136,51.35925512,42.97027925,40.52692681
120,Constant,2105,12,NOA,4.573924931,8.607533612,12.99671498,22.46257136,51.35925512,42.97027925,40.52692681
