CountryA3,studyyear,Type,Exp.Inc,Q1FS,Q2FS,Q3FS,Q4FS,Q5FS,Study,Region,Country,pcGDP2014db,pcGDP,distyear,q1,q2,q3,q4,q5,e1,e2,e3,e4,e5,i1,i2,i3,i4,i5,costS1,costS2,costS3,costS4,costS5,ei1,ei2,ei3,ei4,ei5,Revision
FRA,2001,Direct,Exp,8.1,9.9,11.8,14,12.2,Berri et al 2014,EU,France,28519.57134,32859.57684,2001,9,14,18,23,36,10.56746412,15.15560531,18.75955579,22.90158339,32.61579139,9,14,18,23,36,7.281492546,12.76359719,18.83081715,27.27458518,33.84950793,10.56746412,15.15560531,18.75955579,22.90158339,32.61579139,0
DEU,2008,Direct,Inc,0.455,0.41,0.37,0.34,0.28,Nikodinoska & Schr̦der 2016,EU,Germany,33828.87411,38699.73161,2008,7.93,12.785,16.82333333,22.36,40.1,8.933938146,13.56022363,17.36275679,22.36843634,37.77631176,7.93,12.785,16.82333333,22.36,40.1,10.64193025,15.46038887,18.35902437,22.42262948,33.11602702,7.93,12.785,16.82333333,22.36,40.1,0
DEU,2006,Direct,Inc,1.425,2.05,2.075,2,1.925,Sterner 2012,EU,Germany,32302.18373,37099.85972,2006,8.005,12.95833333,16.915,22.34166667,39.76666667,9.02206752,13.73843996,17.44683963,22.33637446,37.45627843,8.005,12.95833333,16.915,22.34166667,39.76666667,5.870746689,13.67162538,18.06372215,22.99655095,39.39735484,8.005,12.95833333,16.915,22.34166667,39.76666667,0
IRL,2014,IO,Inc,0.1405,0.122,0.1255,0.1165,0.089,DeBruin & Yakut 2018,EU,Ireland,46744.07531,46744.07531,2014,7.955,12.845,16.895,22.595,39.66,9.407844767,14.00558099,17.73493235,22.6606189,36.191023,7.955,12.845,16.895,22.595,39.66,10.19114132,14.28894797,19.33340005,24.00184278,32.18466789,7.955,12.845,16.895,22.595,39.66,0
IRL,2005,IO,Inc,1.675,0.925,0.625,0.5,0.325,Callan et al 2009,EU,Ireland,38762.01686,46302.75318,2005,7.805,12.445,16.68,22.365,40.755,9.236803236,13.57897922,17.52067242,22.44507311,37.21847201,7.805,12.445,16.68,22.365,40.755,21.99502422,19.36749085,17.53932152,18.81376143,22.28440199,7.805,12.445,16.68,22.365,40.755,0
ITA,1992,IO,Exp,11.19,10.87,10.75,10.63,8.86,Davies et al 2014,EU,Italy,24263.7079,30569.07549,1993,7.041428571,12.33571429,16.98714286,23.34142857,40.29714286,7.892651816,13.14247613,17.64754108,23.47891418,37.83984537,6.647873542,12.00489052,16.74274085,23.31328608,41.29263758,8.781555175,14.20447362,18.86301323,24.81587977,33.33507821,7.892651816,13.14247613,17.64754108,23.47891418,37.83984537,0
ITA,2011,Direct,Exp,0.17,0.21,0.19,0.18,0.15,Verde & Pazienza 2016,EU,Italy,27080.64589,35051.57389,2011,6.64,12.62,17.245,22.95,40.6,7.869247199,13.78957675,18.14134872,23.06701705,37.13281028,6.64,12.62,17.245,22.95,40.6,7.687274044,16.64027446,19.80675942,23.85910759,32.00658448,7.869247199,13.78957675,18.14134872,23.06701705,37.13281028,0
SRB,2007,Direct,Inc,0.6,0.875,1.15,1.3,1.65,Sterner 2012,Eurasia,Serbia,9374.71473,11264.74723,2007,8.84,13.58,17.33,22.48,37.77,8.84,13.58,17.33,22.48,37.77,7.456645565,12.42436,16.46903017,22.36032651,41.28963776,3.402763038,8.268353495,14.40465368,22.10845781,51.81577198,7.456645565,12.42436,16.46903017,22.36032651,41.28963776,0
ESP,1992,IO,Exp,8.29,8.07,7.95,7.83,7.61,Davies et al 2014,EU,Spain,20348.9135,23064.22891,1995,6.496666667,11.87,16.53333333,22.95,42.15333333,7.723830674,13.012022,17.44832998,23.14052875,38.6752886,6.496666667,11.87,16.53333333,22.95,42.15333333,8.174867568,13.4063877,17.70983217,23.13281534,37.57609722,7.723830674,13.012022,17.44832998,23.14052875,38.6752886,0
ESP,2006,Direct,Inc,2.4,2.4,2.3,2,2.1,Sterner 2012,EU,Spain,27867.00841,31673.47237,2006,6.855,12.635,17.44,23.425,39.645,8.118048834,13.79560175,18.33224752,23.5255801,36.2285218,6.855,12.635,17.44,23.425,39.645,7.581828865,13.97467654,18.48543152,21.59060797,38.3674551,6.855,12.635,17.44,23.425,39.645,0
ESP,2005,Direct,Inc,3.7,4,3.9,3.6,2.8,Ekins et al 2011,EU,Spain,27232.02518,30943.87364,2005,7.682,12.734,17.018,22.674,39.872,8.202285647,13.20098327,17.37291416,22.71280838,38.51100854,6.904593528,12.05322663,16.47609207,22.54445354,42.00163423,7.585634449,14.31579211,19.07967121,24.09873705,34.92016518,6.904593528,12.05322663,16.47609207,22.54445354,42.00163423,0
SWE,2005,Direct,Inc,1.975,1.775,1.475,1.175,0.85,Sterner 2012,EU,Sweden,32702.98278,37346.21559,2005,9.293333333,14.41,18.04166667,22.74,35.53,10.38257033,15.18425659,18.51369482,22.62594515,33.29186644,9.293333333,14.41,18.04166667,22.74,35.53,14.39967311,20.06671842,20.87770196,20.96246476,23.69344175,9.293333333,14.41,18.04166667,22.74,35.53,0
SWE,2005,Direct,Inc,3.8,3.7,4.9,4.6,3.8,Ekins et al 2011,EU,Sweden,32702.98278,37346.21559,2005,9.293333333,14.41,18.04166667,22.74,35.53,10.38257033,15.18425659,18.51369482,22.62594515,33.29186644,9.293333333,14.41,18.04166667,22.74,35.53,8.475781054,12.79647413,21.2176535,25.10573326,32.40435805,9.293333333,14.41,18.04166667,22.74,35.53,0
GBR,1992,IO,Exp,8.82,9.77,10.45,11.27,7.93,Davies et al 2014,EU,UK,22288.50516,24365.2314,1992,7.48,11.93,16.67,22.71,41.21,8.869681347,13.04258999,17.54542096,22.83667942,37.70562828,7.48,11.93,16.67,22.71,41.21,8.275029892,13.4788045,19.39425277,27.2238686,31.62804424,8.869681347,13.04258999,17.54542096,22.83667942,37.70562828,0
GBR,2006,IO,Inc,5.3,4.65,4.6,4,3,Feng et al 2010,EU,UK,33901.95774,35476.12625,2006,7.225,12.35,16.85,22.7,40.925,8.560446106,13.4910627,17.72080367,22.80888104,37.41880649,7.225,12.35,16.85,22.7,40.925,9.899691059,14.84662815,20.0385207,23.47436047,31.74079963,7.225,12.35,16.85,22.7,40.925,0
GBR,2006,Direct,Inc,2.4,2.35,2.425,2.45,1.525,Sterner 2012,EU,UK,33901.95774,35476.12625,2006,7.225,12.35,16.85,22.7,40.925,8.560446106,13.4910627,17.72080367,22.80888104,37.41880649,7.225,12.35,16.85,22.7,40.925,8.448259587,14.14011614,19.9080996,27.09630663,30.40721805,7.225,12.35,16.85,22.7,40.925,0
GBR,1999,Direct,Exp,0.13,0.19,0.195,0.17,0.11,Santos & Catchesides 2005,EU,UK,28315.32811,30096.01723,1999,6.883333333,11.52,16.15,22.64,42.80666667,7.787532061,12.27188417,16.73433581,22.73826171,40.46798625,6.883333333,11.52,16.15,22.64,42.80666667,6.783466506,15.62332019,21.86510545,25.90088879,29.82721907,7.787532061,12.27188417,16.73433581,22.73826171,40.46798625,0
GBR,2000,IO,Inc,0.455,0.3,0.25,0.21,0.145,Dresner & Ekins 2006,EU,UK,29445.12306,31019.52799,2000,7.725,12.53,16.615,22.43,40.695,9.146970177,13.67869315,17.46285748,22.52315714,37.18832204,7.725,12.53,16.615,22.43,40.695,15.94864942,17.05635995,18.8475273,21.37285775,26.77460558,7.725,12.53,16.615,22.43,40.695,0
GBR,2005,Direct,Inc,5.7,4.2,3.7,3,2.2,Ekins et al 2011,EU,UK,33233.61245,34768.398,2005,7.005,12.185,16.64,22.57,41.6,8.314764103,13.33470719,17.53135258,22.71857323,38.1006029,7.005,12.185,16.64,22.57,41.6,12.80155561,16.40795951,19.73943864,21.70863745,29.34240879,7.005,12.185,16.64,22.57,41.6,0
JPN,2017,CGE,Inc,0.7,0.55,0.5,0.4,0.25,Lee et al 2018,Japan,Japan,33191.11558,33191.11558,2014,6.04,11.47,16.59,23.81,42.09,6.04,11.47,16.59,23.81,42.09,6.04,11.47,16.59,23.81,42.09,10.87504501,16.22640054,21.33597407,24.49714491,27.06543546,6.04,11.47,16.59,23.81,42.09,0
JPN,1995,CGE,Inc,0.85,0.78,0.76,0.75,0.78,Davies et al 2014,Japan,Japan,28025.68089,27661.33015,2004,6.27,11.82,16.78,23.62,41.51,6.27,11.82,16.78,23.62,41.51,6.27,11.82,16.78,23.62,41.51,6.886130446,11.91244362,16.4776141,22.88916425,41.83464759,6.27,11.82,16.78,23.62,41.51,0
